BUSBY2020_abh9	BUSBY2020	Asia	Western_Asia	Abkhazia	Abkhasian	Microarray
1000G_HG00096	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00097	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00098	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00099	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00100	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00101	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00102	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00103	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00104	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00105	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00106	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00107	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00108	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00109	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00110	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00111	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00112	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00113	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00114	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00115	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00116	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00117	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00118	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00119	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00120	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00121	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00122	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00123	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00124	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00125	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00126	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00127	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00128	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00129	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00130	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00131	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00132	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00133	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00134	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00135	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00136	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00137	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00138	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00139	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00140	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
1000G_HG00141	1000G	Europe	North_Europe	England_and_Scotland	British	Whole_genome_sequencing
